_source_file,action,calendar_size,calendar_size_after,calendar_size_sent,duplicates_ignored,event,final_sync,lamport,lamport_after,lamport_before,left_neighbor,message_id,message_lamport,message_vector,new_events_added,node_id,port,received_event_count,received_lamport,received_vector,receiver_node,right_neighbor,scheduled_delay_seconds,sender_node,state_hash,state_hash_after,state_hash_sent,vector,vector_after,vector_before,wall_time_utc
node-3.jsonl,RECEIVE_STATE,,19,,7,,False,,28,19,,N02-M0004,,,8,3,,15,27,"[10, 12, 11, 7, 2, 0, 3, 4, 5, 8]",,,,2,,bd66f897f043930bd57cce34937247fbf92d1e04a22db7409d8f667f4ab35dfb,,,"[10, 12, 11, 10, 9, 8, 7, 4, 5, 8]","[0, 3, 4, 9, 9, 8, 7, 3, 0, 0]",2026-09-13T14:09:39.379Z
node-6.jsonl,LOCAL_SCHEDULE,,16,,,"{""creator_node"": 6, ""end_time"": ""20:20"", ""event_id"": ""N06-E03"", ""event_number"": 3, ""lamport_timestamp"": 25, ""simulation_date"": ""2030-10-01"", ""start_time"": ""20:00"", ""title"": ""Node 6 Event 3"", ""vector_timestamp"": [0, 3, 4, 8, 10, 13, 12, 8, 4, 2]}",,,25,,,,,,,6,,,,,,,73,,,87481c4a5ffaf7052e23de86ea45a70f67febb06a2e9ae34a593aab21bb39f08,,,"[0, 3, 4, 8, 10, 13, 12, 8, 4, 2]",,2026-09-13T14:09:44.663Z
node-6.jsonl,SEND_STATE,,,16,,,,,,,,N06-M0005,26,"[0, 3, 4, 8, 10, 13, 13, 8, 4, 2]",,6,,,,,5,,,,,,87481c4a5ffaf7052e23de86ea45a70f67febb06a2e9ae34a593aab21bb39f08,,,,2026-09-13T14:09:44.664Z
node-5.jsonl,RECEIVE_STATE,,16,,12,,False,,27,23,,N06-M0005,,,4,5,,16,26,"[0, 3, 4, 8, 10, 13, 13, 8, 4, 2]",,,,6,,87481c4a5ffaf7052e23de86ea45a70f67febb06a2e9ae34a593aab21bb39f08,,,"[0, 3, 4, 8, 10, 14, 13, 8, 4, 2]","[0, 3, 4, 8, 10, 13, 7, 3, 0, 0]",2026-09-13T14:09:44.667Z
node-6.jsonl,SEND_STATE,,,16,,,,,,,,N06-M0006,27,"[0, 3, 4, 8, 10, 13, 14, 8, 4, 2]",,6,,,,,7,,,,,,87481c4a5ffaf7052e23de86ea45a70f67febb06a2e9ae34a593aab21bb39f08,,,,2026-09-13T14:09:44.668Z
node-7.jsonl,RECEIVE_STATE,,19,,9,,False,,28,20,,N06-M0006,,,7,7,,16,27,"[0, 3, 4, 8, 10, 13, 14, 8, 4, 2]",,,,6,,61f2a5861b75c48a312797483d061e9278879412bd21e5441310ace1eb9d3b79,,,"[4, 3, 4, 8, 10, 13, 14, 11, 9, 7]","[4, 2, 0, 0, 3, 5, 8, 10, 9, 7]",2026-09-13T14:09:44.670Z
node-9.jsonl,LOCAL_SCHEDULE,,16,,,"{""creator_node"": 9, ""end_time"": ""21:00"", ""event_id"": ""N09-E03"", ""event_number"": 3, ""lamport_timestamp"": 22, ""simulation_date"": ""2030-10-01"", ""start_time"": ""20:40"", ""title"": ""Node 9 Event 3"", ""vector_timestamp"": [9, 7, 3, 0, 3, 5, 8, 9, 10, 11]}",,,22,,,,,,,9,,,,,,,77,,,3adcf725b1ab363fc20ef3f40c5aa7785868e79b039bd20353e6e1e40148ccd6,,,"[9, 7, 3, 0, 3, 5, 8, 9, 10, 11]",,2026-09-13T14:10:08.979Z
node-9.jsonl,SEND_STATE,,,16,,,,,,,,N09-M0005,23,"[9, 7, 3, 0, 3, 5, 8, 9, 10, 12]",,9,,,,,8,,,,,,3adcf725b1ab363fc20ef3f40c5aa7785868e79b039bd20353e6e1e40148ccd6,,,,2026-09-13T14:10:08.982Z
node-8.jsonl,RECEIVE_STATE,,16,,12,,False,,24,20,,N09-M0005,,,4,8,,16,23,"[9, 7, 3, 0, 3, 5, 8, 9, 10, 12]",,,,9,,3adcf725b1ab363fc20ef3f40c5aa7785868e79b039bd20353e6e1e40148ccd6,,,"[9, 7, 3, 0, 3, 5, 8, 9, 11, 12]","[4, 2, 0, 0, 3, 5, 8, 9, 10, 7]",2026-09-13T14:10:08.987Z
node-9.jsonl,SEND_STATE,,,16,,,,,,,,N09-M0006,24,"[9, 7, 3, 0, 3, 5, 8, 9, 10, 13]",,9,,,,,0,,,,,,3adcf725b1ab363fc20ef3f40c5aa7785868e79b039bd20353e6e1e40148ccd6,,,,2026-09-13T14:10:08.989Z
